node,region,variable,units,CA,BAS,ATS,RAS
Gas Combined Cycle_IDJW,Indonesia,Annual Storage Carryover,Yes/No,No,,,
Gas Combined Cycle_IDJW,Indonesia,Capacity Additions,MW,0,0,"Add(2026, 421.55, 2027, 2385.96, 2028, 446.84, 2029, 1222.49, 2030, 505.86)","Add(2027, 1250, 2028, 450, 2029, 1450)"
Gas Combined Cycle_IDJW,Indonesia,Capacity Credit,Percent,85 ? max availability,85 ? max availability,85 ? max availability,85 ? max availability
Gas Combined Cycle_IDJW,Indonesia,Capacity Retirement,MW,0,0,0,0
Gas Combined Cycle_IDJW,Indonesia,Capital Cost,U.S. Dollar,"Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2030, 750, 2050, 700)"
Gas Combined Cycle_IDJW,Indonesia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Gas Combined Cycle_IDJW,Indonesia,Dispatchable,Yes/No,Yes,,,
Gas Combined Cycle_IDJW,Indonesia,Endogenous Capacity,Megawatt,0,"Step(2023,150)","Step(2023, 0, 2031, 0.7 * Key\End_cap multip\Total_:Activity Level[MW]*(1-Key\End_cap multip\RE_Fraction:Activity Level[Fraction])) ? Fraction of this technology among the RE or non RE calculated based on last Year of capacity additions in AMS' PDP",
Gas Combined Cycle_IDJW,Indonesia,Existing Capacity,MW,"Interp(2005, 5834.190965, 2006, 6458.081143, 2007, 6491.804936, 2008, 6753.164335, 2009, 6753.164335, 2010, 6399.359587, 2011, 7150.262002, 2012, 7976.612974, 2013, 8306.347364, 2014, 8554.132936, 2015, 8554.132936, 2016, 8554.132936, 2017, 8554.132936, 2018, 9459.608357, 2019, 9838.157938, 2020, 10314.95253, 2021, 10373.65996, 2022, 11037.16393, 2023, 13235.0801, 2024, 15486.25537, FirstScenarioYear, 0)",Value(2024),"Max(Value(2024) - Capacity Retirement[MW], 0)","Max(Value(2024) - Capacity Retirement[MW], 0)"
Gas Combined Cycle_IDJW,Indonesia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Gas Combined Cycle_IDJW,Indonesia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Gas Combined Cycle_IDJW,Indonesia,Fixed OM Cost,U.S. Dollar,"Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2017, 22.5, 2050, 21.8)"
Gas Combined Cycle_IDJW,Indonesia,Full Load Hours,Hours,0,0,0,0
Gas Combined Cycle_IDJW,Indonesia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)",0,0,0
Gas Combined Cycle_IDJW,Indonesia,Historical Production,Gigawatt-Hour,"Interp(2005, 28744.75644, 2006, 28656.41036, 2007, 28984.31023, 2008, 33403.31321, 2009, 33249.55706, 2010, 36802.93835, 2011, 37877.5325, 2012, 33204.53453, 2013, 35194.86979, 2014, 37191.15141, 2015, 37925.95295, 2016, 40951.8062, 2017, 37524.14818, 2018, 37345.75705, 2019, 36658.55197, 2020, 30087.90471, 2021, 33310.38127, 2022, 29013.16765, 2023, 32889.23153, 2024, 35970.47608, FirstScenarioYear, 0)","Interp(2005, 28744.75644, 2006, 28656.41036, 2007, 28984.31023, 2008, 33403.31321, 2009, 33249.55706, 2010, 36802.93835, 2011, 37877.5325, 2012, 33204.53453, 2013, 35194.86979, 2014, 37191.15141, 2015, 37925.95295, 2016, 40951.8062, 2017, 37524.14818, 2018, 37345.75705, 2019, 36658.55197, 2020, 30087.90471, 2021, 33310.38127, 2022, 29013.16765, 2023, 32889.23153, 2024, 35970.47608, FirstScenarioYear, 0)","Interp(2005, 28744.75644, 2006, 28656.41036, 2007, 28984.31023, 2008, 33403.31321, 2009, 33249.55706, 2010, 36802.93835, 2011, 37877.5325, 2012, 33204.53453, 2013, 35194.86979, 2014, 37191.15141, 2015, 37925.95295, 2016, 40951.8062, 2017, 37524.14818, 2018, 37345.75705, 2019, 36658.55197, 2020, 30087.90471, 2021, 33310.38127, 2022, 29013.16765, 2023, 32889.23153, 2024, 35970.47608, FirstScenarioYear, 0)",
Gas Combined Cycle_IDJW,Indonesia,Hourly Storage Carryover,Yes/No,Yes,,,
Gas Combined Cycle_IDJW,Indonesia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Gas Combined Cycle_IDJW,Indonesia,Lifetime,Years,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/
Gas Combined Cycle_IDJW,Indonesia,Maximum Availability,Percent,"85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)",ScenarioValue(AMS Target Scenario)*Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction:Activity Level[Percent]
Gas Combined Cycle_IDJW,Indonesia,Maximum Capacity,Megawatt,,,,Exogenous Capacity[MW]
Gas Combined Cycle_IDJW,Indonesia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023, 2000)"
Gas Combined Cycle_IDJW,Indonesia,Maximum Production,Gigajoule,,,,Unlimited
Gas Combined Cycle_IDJW,Indonesia,Maximum_Share_of_Production,%,,100,100,100
Gas Combined Cycle_IDJW,Indonesia,Merit Order,Merit Order,4,4,4,
Gas Combined Cycle_IDJW,Indonesia,Minimum Capacity,Megawatt,,,,0
Gas Combined Cycle_IDJW,Indonesia,Minimum Capacity Addition,Megawatt,,,,0
Gas Combined Cycle_IDJW,Indonesia,Minimum Charge,Share,0,0,0,0
Gas Combined Cycle_IDJW,Indonesia,Minimum Production,Gigajoule,,,,0
Gas Combined Cycle_IDJW,Indonesia,Minimum Share of Production,Percent,,,,0
Gas Combined Cycle_IDJW,Indonesia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Gas Combined Cycle_IDJW,Indonesia,Node,ID,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Gas Combined Cycle_IDJW,Indonesia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Gas Combined Cycle_IDJW,Indonesia,Process Efficiency,Percent,56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017)
Gas Combined Cycle_IDJW,Indonesia,Process Share,Share,0,0,0,
Gas Combined Cycle_IDJW,Indonesia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,"If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)","If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)"
Gas Combined Cycle_IDJW,Indonesia,Renewable Qualified,Percent,,,,0
Gas Combined Cycle_IDJW,Indonesia,Salvage Value,U.S. Dollar,0,0,0,0
Gas Combined Cycle_IDJW,Indonesia,Seasonal Storage Carryover,Yes/No,No,,,
Gas Combined Cycle_IDJW,Indonesia,Starting Charge,Share,0,,,
Gas Combined Cycle_IDJW,Indonesia,Stranded Cost,U.S. Dollar,0,0,0,0
Gas Combined Cycle_IDJW,Indonesia,Variable OM Cost,U.S. Dollar,"Interp(2022, 2.6, 2030, 2.5, 2050, 2.4) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 2.6, 2030, 2.5, 2050, 2.4) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 2.6, 2030, 2.5, 2050, 2.4) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2030, 0.13, 2050, 0.12)"
Gas Combined Cycle_IDKA,Indonesia,Annual Storage Carryover,Yes/No,No,,,
Gas Combined Cycle_IDKA,Indonesia,Capacity Additions,MW,0,0,"Add(2026, 2.53, 2027, 14.31, 2028, 2.68, 2029, 7.33, 2030, 3.03)","Add(2026, 500, 2027, 80, 2030, 100)"
Gas Combined Cycle_IDKA,Indonesia,Capacity Credit,Percent,85 ? max availability,85 ? max availability,85 ? max availability,85 ? max availability
Gas Combined Cycle_IDKA,Indonesia,Capacity Retirement,MW,0,0,0,0
Gas Combined Cycle_IDKA,Indonesia,Capital Cost,U.S. Dollar,"Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2030, 750, 2050, 700)"
Gas Combined Cycle_IDKA,Indonesia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Gas Combined Cycle_IDKA,Indonesia,Dispatchable,Yes/No,Yes,,,
Gas Combined Cycle_IDKA,Indonesia,Endogenous Capacity,Megawatt,0,"Step(2023,150)","Step(2023, 0, 2031, 0.7 * Key\End_cap multip\Total_:Activity Level[MW]*(1-Key\End_cap multip\RE_Fraction:Activity Level[Fraction])) ? Fraction of this technology among the RE or non RE calculated based on last Year of capacity additions in AMS' PDP",
Gas Combined Cycle_IDKA,Indonesia,Existing Capacity,MW,"Interp(2005, 34.97849218, 2006, 38.71898299, 2007, 38.92117168, 2008, 40.48813405, 2009, 40.48813405, 2010, 38.36692193, 2011, 42.86890591, 2012, 47.82323654, 2013, 49.80013648, 2014, 51.2857179, 2015, 51.2857179, 2016, 51.2857179, 2017, 51.2857179, 2018, 56.71443375, 2019, 58.98400182, 2020, 99.49266955, 2021, 98.36489338, 2022, 127.410098, 2023, 152.7822603, 2024, 178.7692315, FirstScenarioYear, 0)",Value(2024),"Max(Value(2024) - Capacity Retirement[MW], 0)","Max(Value(2024) - Capacity Retirement[MW], 0)"
Gas Combined Cycle_IDKA,Indonesia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Gas Combined Cycle_IDKA,Indonesia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Gas Combined Cycle_IDKA,Indonesia,Fixed OM Cost,U.S. Dollar,"Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2017, 22.5, 2050, 21.8)"
Gas Combined Cycle_IDKA,Indonesia,Full Load Hours,Hours,0,0,0,0
Gas Combined Cycle_IDKA,Indonesia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)",0,0,0
Gas Combined Cycle_IDKA,Indonesia,Historical Production,Gigawatt-Hour,"Interp(2005, 173.6597651, 2006, 173.1260274, 2007, 175.1070153, 2008, 201.8041635, 2009, 200.8752546, 2010, 222.3427999, 2011, 228.8348976, 2012, 200.6032537, 2013, 212.6277477, 2014, 224.6881664, 2015, 229.1274269, 2016, 247.4079424, 2017, 226.6999469, 2018, 225.6222074, 2019, 221.470498, 2020, 308.9175257, 2021, 331.8199058, 2022, 289.0134003, 2023, 327.624641, 2024, 358.3183239, FirstScenarioYear, 0)","Interp(2005, 173.6597651, 2006, 173.1260274, 2007, 175.1070153, 2008, 201.8041635, 2009, 200.8752546, 2010, 222.3427999, 2011, 228.8348976, 2012, 200.6032537, 2013, 212.6277477, 2014, 224.6881664, 2015, 229.1274269, 2016, 247.4079424, 2017, 226.6999469, 2018, 225.6222074, 2019, 221.470498, 2020, 308.9175257, 2021, 331.8199058, 2022, 289.0134003, 2023, 327.624641, 2024, 358.3183239, FirstScenarioYear, 0)","Interp(2005, 173.6597651, 2006, 173.1260274, 2007, 175.1070153, 2008, 201.8041635, 2009, 200.8752546, 2010, 222.3427999, 2011, 228.8348976, 2012, 200.6032537, 2013, 212.6277477, 2014, 224.6881664, 2015, 229.1274269, 2016, 247.4079424, 2017, 226.6999469, 2018, 225.6222074, 2019, 221.470498, 2020, 308.9175257, 2021, 331.8199058, 2022, 289.0134003, 2023, 327.624641, 2024, 358.3183239, FirstScenarioYear, 0)",
Gas Combined Cycle_IDKA,Indonesia,Hourly Storage Carryover,Yes/No,Yes,,,
Gas Combined Cycle_IDKA,Indonesia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Gas Combined Cycle_IDKA,Indonesia,Lifetime,Years,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/
Gas Combined Cycle_IDKA,Indonesia,Maximum Availability,Percent,"85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)",ScenarioValue(AMS Target Scenario)*Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction:Activity Level[Percent]
Gas Combined Cycle_IDKA,Indonesia,Maximum Capacity,Megawatt,,,,Exogenous Capacity[MW]
Gas Combined Cycle_IDKA,Indonesia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023, 2000)"
Gas Combined Cycle_IDKA,Indonesia,Maximum Production,Gigajoule,,,,Unlimited
Gas Combined Cycle_IDKA,Indonesia,Maximum_Share_of_Production,%,,100,100,100
Gas Combined Cycle_IDKA,Indonesia,Merit Order,Merit Order,4,4,4,
Gas Combined Cycle_IDKA,Indonesia,Minimum Capacity,Megawatt,,,,0
Gas Combined Cycle_IDKA,Indonesia,Minimum Capacity Addition,Megawatt,,,,0
Gas Combined Cycle_IDKA,Indonesia,Minimum Charge,Share,0,0,0,0
Gas Combined Cycle_IDKA,Indonesia,Minimum Production,Gigajoule,,,,0
Gas Combined Cycle_IDKA,Indonesia,Minimum Share of Production,Percent,,,,0
Gas Combined Cycle_IDKA,Indonesia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Gas Combined Cycle_IDKA,Indonesia,Node,ID,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Gas Combined Cycle_IDKA,Indonesia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Gas Combined Cycle_IDKA,Indonesia,Process Efficiency,Percent,56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017)
Gas Combined Cycle_IDKA,Indonesia,Process Share,Share,0,0,0,
Gas Combined Cycle_IDKA,Indonesia,Real Investment Cost,USD,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,Capital Cost[Thousand USD/MW] * (Capacity Additions[MW]) / 1000,"If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)","If((Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])>0),(Capital Cost[Thousand USD/MW] * (Capacity Additions[MW] - PrevYearValue(Capacity Additions[MW])) / 1000),0)"
Gas Combined Cycle_IDKA,Indonesia,Renewable Qualified,Percent,,,,0
Gas Combined Cycle_IDKA,Indonesia,Salvage Value,U.S. Dollar,0,0,0,0
Gas Combined Cycle_IDKA,Indonesia,Seasonal Storage Carryover,Yes/No,No,,,
Gas Combined Cycle_IDKA,Indonesia,Starting Charge,Share,0,,,
Gas Combined Cycle_IDKA,Indonesia,Stranded Cost,U.S. Dollar,0,0,0,0
Gas Combined Cycle_IDKA,Indonesia,Variable OM Cost,U.S. Dollar,"Interp(2022, 2.6, 2030, 2.5, 2050, 2.4) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 2.6, 2030, 2.5, 2050, 2.4) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 2.6, 2030, 2.5, 2050, 2.4) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2030, 0.13, 2050, 0.12)"
Gas Combined Cycle_IDSA,Indonesia,Annual Storage Carryover,Yes/No,No,,,
Gas Combined Cycle_IDSA,Indonesia,Capacity Additions,MW,0,0,"Add(2026, 62.66, 2027, 354.63, 2028, 66.42, 2029, 181.7, 2030, 75.19)","Add(2026, 500, 2027, 2830, 2028, 530, 2029, 1450, 2030, 600)"
Gas Combined Cycle_IDSA,Indonesia,Capacity Credit,Percent,85 ? max availability,85 ? max availability,85 ? max availability,85 ? max availability
Gas Combined Cycle_IDSA,Indonesia,Capacity Retirement,MW,0,0,0,0
Gas Combined Cycle_IDSA,Indonesia,Capital Cost,U.S. Dollar,"Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 1080, 2030, 1030, 2050, 950) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2030, 750, 2050, 700)"
Gas Combined Cycle_IDSA,Indonesia,Dispatch Rule,None,MeritOrderDispatch,MeritOrderDispatch,MeritOrderDispatch,
Gas Combined Cycle_IDSA,Indonesia,Dispatchable,Yes/No,Yes,,,
Gas Combined Cycle_IDSA,Indonesia,Endogenous Capacity,Megawatt,0,"Step(2023,150)","Step(2023, 0, 2031, 0.7 * Key\End_cap multip\Total_:Activity Level[MW]*(1-Key\End_cap multip\RE_Fraction:Activity Level[Fraction])) ? Fraction of this technology among the RE or non RE calculated based on last Year of capacity additions in AMS' PDP",
Gas Combined Cycle_IDSA,Indonesia,Existing Capacity,MW,"Interp(2005, 867.1634591, 2006, 959.8952137, 2007, 964.9077409, 2008, 1003.754827, 2009, 1003.754827, 2010, 951.1671505, 2011, 1062.777336, 2012, 1185.601798, 2013, 1234.611783, 2014, 1271.441328, 2015, 1271.441328, 2016, 1271.441328, 2017, 1271.441328, 2018, 1406.026432, 2019, 1462.29205, 2020, 1503.081009, 2021, 1486.043181, 2022, 1581.699662, 2023, 1896.6758, 2024, 2219.284324, FirstScenarioYear, 0)",Value(2024),"Max(Value(2024) - Capacity Retirement[MW], 0)","Max(Value(2024) - Capacity Retirement[MW], 0)"
Gas Combined Cycle_IDSA,Indonesia,Exogenous Capacity,Megawatt,Existing Capacity[MW] + Capacity Additions[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW],"Max(Existing Capacity[MW] + Capacity Additions[MW] - Capacity Retirement[MW], 0)"
Gas Combined Cycle_IDSA,Indonesia,First Simulation Year,Years,FirstScenarioYear,FirstScenarioYear,FirstScenarioYear,
Gas Combined Cycle_IDSA,Indonesia,Fixed OM Cost,U.S. Dollar,"Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2022, 26.8, 2030, 26, 2050, 25.2) ? 2024 Technology Data for the Indonesian Power Sector (Danish Energy) - price Year 2022","Interp(2017, 22.5, 2050, 21.8)"
Gas Combined Cycle_IDSA,Indonesia,Full Load Hours,Hours,0,0,0,0
Gas Combined Cycle_IDSA,Indonesia,Historical Capacity Factor,percentage,"Min(Historical Production[GWh] / (Exogenous Capacity[MW] / 1000 * 8760) * 100, 100)",0,0,0
Gas Combined Cycle_IDSA,Indonesia,Historical Production,Gigawatt-Hour,"Interp(2005, 4135.531404, 2006, 4122.820981, 2007, 4169.996202, 2008, 4805.761743, 2009, 4783.64072, 2010, 5294.868566, 2011, 5449.471297, 2012, 4777.163293, 2013, 5063.514439, 2014, 5350.721094, 2015, 5456.437586, 2016, 5891.769546, 2017, 5398.629609, 2018, 5372.964333, 2019, 5274.095581, 2020, 2995.883725, 2021, 2816.04704, 2022, 7350.762224, 2023, 8332.799908, 2024, 9113.462549, FirstScenarioYear, 0)","Interp(2005, 4135.531404, 2006, 4122.820981, 2007, 4169.996202, 2008, 4805.761743, 2009, 4783.64072, 2010, 5294.868566, 2011, 5449.471297, 2012, 4777.163293, 2013, 5063.514439, 2014, 5350.721094, 2015, 5456.437586, 2016, 5891.769546, 2017, 5398.629609, 2018, 5372.964333, 2019, 5274.095581, 2020, 2995.883725, 2021, 2816.04704, 2022, 7350.762224, 2023, 8332.799908, 2024, 9113.462549, FirstScenarioYear, 0)","Interp(2005, 4135.531404, 2006, 4122.820981, 2007, 4169.996202, 2008, 4805.761743, 2009, 4783.64072, 2010, 5294.868566, 2011, 5449.471297, 2012, 4777.163293, 2013, 5063.514439, 2014, 5350.721094, 2015, 5456.437586, 2016, 5891.769546, 2017, 5398.629609, 2018, 5372.964333, 2019, 5274.095581, 2020, 2995.883725, 2021, 2816.04704, 2022, 7350.762224, 2023, 8332.799908, 2024, 9113.462549, FirstScenarioYear, 0)",
Gas Combined Cycle_IDSA,Indonesia,Hourly Storage Carryover,Yes/No,Yes,,,
Gas Combined Cycle_IDSA,Indonesia,Interest Rate,Percent,DiscountRate,DiscountRate,DiscountRate,DiscountRate
Gas Combined Cycle_IDSA,Indonesia,Lifetime,Years,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/,30 ? https://www.statista.com/statistics/1229935/lifetime-power-plants-energy-sources-globally/
Gas Combined Cycle_IDSA,Indonesia,Maximum Availability,Percent,"85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)","85 ? Handayani et al. (2022) based on RUPTL 2021-2030, IEA-NEA, Mongird et al (2019)",ScenarioValue(AMS Target Scenario)*Key\Capacity Additions Multiplier\Fossil Fuel Dispatch Reduction:Activity Level[Percent]
Gas Combined Cycle_IDSA,Indonesia,Maximum Capacity,Megawatt,,,,Exogenous Capacity[MW]
Gas Combined Cycle_IDSA,Indonesia,Maximum Capacity Addition,Megawatt,,,,"Interp(BaseYear, 0, 2023, 2000)"
Gas Combined Cycle_IDSA,Indonesia,Maximum Production,Gigajoule,,,,Unlimited
Gas Combined Cycle_IDSA,Indonesia,Maximum_Share_of_Production,%,,100,100,100
Gas Combined Cycle_IDSA,Indonesia,Merit Order,Merit Order,4,4,4,
Gas Combined Cycle_IDSA,Indonesia,Minimum Capacity,Megawatt,,,,0
Gas Combined Cycle_IDSA,Indonesia,Minimum Capacity Addition,Megawatt,,,,0
Gas Combined Cycle_IDSA,Indonesia,Minimum Charge,Share,0,0,0,0
Gas Combined Cycle_IDSA,Indonesia,Minimum Production,Gigajoule,,,,0
Gas Combined Cycle_IDSA,Indonesia,Minimum Share of Production,Percent,,,,0
Gas Combined Cycle_IDSA,Indonesia,Minimum Utilization,Percent,0,0,0,"Min(Interp(FirstScenarioYear, Value(Historical Capacity Factor[percentage],  LastHistoricalYear), FirstScenarioYear + Key\Modeling Assumptions\Incumbent Generator DIspatch Phaseout:Activity Level, 0), Maximum Availability)"
Gas Combined Cycle_IDSA,Indonesia,Node,ID,BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA]),BranchID(Key\Transmission\Nodes\Indonesia:Activity Level[NA])
Gas Combined Cycle_IDSA,Indonesia,Optimized New Capacity,Megawatt,,,,0 ?Optimized on 07/02/2026 11:41 (NEMO/CPLEX)
Gas Combined Cycle_IDSA,Indonesia,Process Efficiency,Percent,56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017),56 ? *Source: Technology data indonesian power sector (Dec 2017)
Gas Combined Cycle_IDSA,Indonesia,Process Share,Share,0,0,0,
