branch,branch_type,variable,unit
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Solar PV_MYSB,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSB,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_MYKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Large Hydro_MYKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDJW,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDSA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDKA,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_IDEast,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_MYSR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYPE,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSR,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Unmet Load_MYSB,Transformation Process,Fixed OM Cost,Thousand U.S. Dollar/Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Lifetime,Years
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Interest Rate,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Exogenous Capacity,Megawatt
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Maximum Availability,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Minimum Utilization,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Capacity Credit,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Process Efficiency,Percent
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Variable OM Cost,U.S. Dollar/Megawatt-Hour
Transformation\Centralized Electricity Generation\Processes\Gas Engine_MYPE,Transformation Process,Capital Cost,Thousand U.S. Dollar/Megawatt
