[15:30:29] stage=dry_region | scen=Baseline Simulation 1/4 | region=Philippines 7/10 | row=50/59/59 | rows_written=0 | last_hb=15:29:24 | finished=None
[18:47:33] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:48:03] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:48:33] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:49:03] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:49:33] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:50:03] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:50:33] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:51:03] stage=dry_region | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=60/63/56 | rows_written=595 | last_hb=18:47:18 | finished=None
[18:51:33] stage=real_region | scen=Current Accounts 4/4 | region=Cambodia 2/10 | row=60/60/61 | rows_written=595 | last_hb=18:51:24 | finished=None
[18:52:03] stage=real_pushing | scen=Current Accounts 4/4 | region=Myanmar 6/10 | row=40/59/59 | rows_written=595 | last_hb=18:51:56 | finished=None
[18:52:33] stage=real_inject_done | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=18:52:17 | finished=None
[18:53:03] stage=real_inject_done | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=18:52:17 | finished=None
[18:53:33] stage=real_inject_done | scen=Current Accounts 4/4 | region=Vietnam 10/10 | row=50/56/56 | rows_written=595 | last_hb=18:52:28 | finished=2026-05-19T18:53:12
[19:15:41] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=19:15:37 | finished=None
[19:16:11] stage=scenario_start | scen=Baseline Simulation 1/4 | region=? ? | row=?/? | rows_written=0 | last_hb=19:15:37 | finished=None
[19:16:41] stage=real_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/56 | rows_written=0 | last_hb=19:16:23 | finished=None
[19:17:11] stage=real_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/56 | rows_written=0 | last_hb=19:16:23 | finished=None
[19:17:41] stage=real_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/56 | rows_written=0 | last_hb=19:16:23 | finished=None
[19:18:11] stage=real_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/56 | rows_written=0 | last_hb=19:16:23 | finished=None
[19:18:41] stage=real_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/56 | rows_written=0 | last_hb=19:16:23 | finished=None
[19:19:11] stage=real_region | scen=Baseline Simulation 1/4 | region=Brunei 1/10 | row=?/56 | rows_written=0 | last_hb=19:16:23 | finished=None
[19:19:41] stage=real_region | scen=Baseline Simulation 1/4 | region=Cambodia 2/10 | row=50/56/57 | rows_written=56 | last_hb=19:19:19 | finished=None
